,,,,,,,,,,,,,,,,,,,,,,,,,
Rk,Player,Nation,Pos,Squad,Age,Born,90s,SCA,SCA90,PassLive,PassDead,Drib,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,Drib,Sh,Fld,Def,OG,Matches
481,Nick Woltemade,de GER,"MF,FW",Werder Bremen,19-086,2002,1.6,5,3.06,3,0,0,1,1,0,1,0.61,1,0,0,0,0,0,0,Matches
482,Jeong Woo-yeong,kr KOR,"FW,MF",Freiburg,21-233,1999,8.7,23,2.64,21,0,0,2,0,0,1,0.11,1,0,0,0,0,0,0,Matches
483,Joscha Wosz,de GER,"DF,FW",RB Leipzig,18-295,2002,0.4,1,2.65,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
484,Reinhold Yabo,de GER,"MF,FW",Arminia,29-090,1992,7.2,7,0.97,5,0,0,0,2,0,0,0,0,0,0,0,0,0,0,Matches
485,Amin Younes,de GER,"MF,FW",Eint Frankfurt,27-278,1993,14.7,51,3.46,31,5,8,3,4,0,6,0.41,3,1,2,0,0,0,0,Matches
486,Dan-Axel Zagadou,fr FRA,DF,Dortmund,21-342,1999,3.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
487,Denis Zakaria,ch SUI,"MF,DF",M'Gladbach,24-172,1996,14.6,15,1.03,13,0,0,2,0,0,1,0.07,1,0,0,0,0,0,0,Matches
488,Deyovaisio Zeefuik,nl NED,"DF,MF",Hertha BSC,23-061,1998,9.9,27,2.72,23,0,2,0,2,0,0,0,0,0,0,0,0,0,0,Matches
489,Robin Zentner,de GER,GK,Mainz 05,26-195,1994,31,4,0.13,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,Matches
490,Ron-Robert Zieler,de GER,GK,Köln,32-088,1989,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
491,Joshua Zirkzee,nl NED,FW,Bayern Munich,19-354,2001,1,2,1.96,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
492,Steven Zuber,ch SUI,DF,Eint Frankfurt,29-267,1991,5.7,18,3.13,17,0,0,0,0,1,4,0.7,4,0,0,0,0,0,0,Matches
